date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2007-09-13,87.26,88.07,86.5,87.95,5983500,87.26,88.07,86.5,87.95,5983500,0.0,1.0,1
2007-09-14,87.77,88.09,86.31,86.41,3954700,87.77,88.09,86.31,86.41,3954700,0.0,1.0,1
2007-09-17,86.91,87.34,85.98,86.98,4484500,86.91,87.34,85.98,86.98,4484500,0.0,1.0,1
2007-09-18,88.75,91.6,86.71,87.38,8924400,88.75,91.6,86.71,87.38,8924400,0.0,1.0,1
2007-09-19,89.0,89.82,88.26,89.52,6458700,89.0,89.82,88.26,89.52,6458700,0.0,1.0,1
2007-09-20,89.65,90.416,88.82,88.9,5780800,89.65,90.416,88.82,88.9,5780800,0.0,1.0,1
2007-09-21,91.3,91.9,89.65,90.29,6524500,91.3,91.9,89.65,90.29,6524500,0.0,1.0,1
2007-09-24,92.59,93.75,90.81,91.29,5321800,92.59,93.75,90.81,91.29,5321800,0.0,1.0,1
2007-09-25,93.4799,93.5,90.95,91.99,5800300,93.4799,93.5,90.95,91.99,5800300,0.0,1.0,1
2007-09-26,93.43,94.26,92.29,94.04,5770300,93.43,94.26,92.29,94.04,5770300,0.0,1.0,1
2007-09-27,93.38,94.11,93.1051,94.07,2812700,93.38,94.11,93.1051,94.07,2812700,0.0,1.0,1
2007-09-28,93.15,93.6,91.7,92.77,4813700,93.15,93.6,91.7,92.77,4813700,0.0,1.0,1
2007-10-01,93.41,94.1,92.83,93.42,5397400,93.41,94.1,92.83,93.42,5397400,0.0,1.0,1
2007-10-02,92.36,93.9,91.4,93.865,4867200,92.36,93.9,91.4,93.865,4867200,0.0,1.0,1
2007-10-03,92.455,92.8,91.78,92.19,5052200,92.455,92.8,91.78,92.19,5052200,0.0,1.0,1
2007-10-04,92.26,92.57,91.45,92.55,3318300,92.26,92.57,91.45,92.55,3318300,0.0,1.0,1
2007-10-05,93.43,93.71,92.34,93.55,5523500,93.43,93.71,92.34,93.55,5523500,0.0,1.0,1
2007-10-08,95.85,95.85,94.0,94.22,7428400,95.85,95.85,94.0,94.22,7428400,0.0,1.0,1
2007-10-09,95.3237,96.73,94.75,96.59,7144600,95.3237,96.73,94.75,96.59,7144600,0.0,1.0,1
2007-10-10,94.66,95.7483,94.37,95.5,5567800,94.66,95.7483,94.37,95.5,5567800,0.0,1.0,1
2007-10-11,89.34,95.74,88.13,95.33,9822400,89.34,95.74,88.13,95.33,9822400,0.0,1.0,1
2007-10-12,92.37,92.39,88.9187,89.42,8359900,92.37,92.39,88.9187,89.42,8359900,0.0,1.0,1
2007-10-15,90.53,92.12,90.1,91.8,5608800,90.53,92.12,90.1,91.8,5608800,0.0,1.0,1
2007-10-16,89.53,90.05,88.5,88.69,8511500,89.53,90.05,88.5,88.69,8511500,0.0,1.0,1
2007-10-17,90.55,91.9,89.06,91.9,7678700,90.55,91.9,89.06,91.9,7678700,0.0,1.0,1
2007-10-18,89.85,90.43,89.15,89.37,5329500,89.85,90.43,89.15,89.37,5329500,0.0,1.0,1
